,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Group_1,Time_2,Time_3,
Wangosaurus brevirostris,0.418721919,-1.756925552,-0.491638351,-0.766781499,-0.759740793,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Wa.br
Diandongosaurus acutidentatus,0.199720803,-2.29756513,-0.258417137,-0.356602926,-0.744888371,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Di.ac
Dianmeisaurus gracilis,-0.448317781,-2.207017064,-0.478812884,-0.46812253,-0.875584315,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Di.gr
Placodus inexpectatus,-1.012197177,-1.808408341,0.400237764,-0.21124693,-0.443272558,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Pla.in
Wumengosaurus delicatomandibularis,-0.954760003,-0.682306219,-0.074443798,0.637509246,-0.673754314,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Wu.de
Nothosaurus giganteus,-0.69867164,-1.20921511,-0.96867792,-0.782033691,-0.5735591,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,No.gi
Nothosaurus giganteus_d,-0.69867164,-1.20921511,-0.96867792,-0.782033691,-0.5735591,NA,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,No.gi_d
Ceresiosaurus calcagnii,-0.352603877,-1.069523031,0.047169368,-0.824398071,-0.650678095,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Ce.ca
Neusticosaurus edwardsii,-0.631520558,-1.017324354,0.718676912,-0.000572728,-0.509699147,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Ne.ed
Neusticosaurus peyeri,-0.255944451,-1.819887115,-0.436516586,-0.186973116,-0.110405887,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Ne.pe
Neusticosaurus pusillus,0.040373837,-1.620955089,-0.317564183,0.074631036,-0.403983428,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Ne.pu
Paraplacodus broilii,-0.533585894,-2.131546541,0.684356632,-0.502958115,0.909042002,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Pa.br
Serpianosaurus mirigiolensis,-0.695570533,-1.826070254,-0.537917501,0.112792757,0.136534468,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,Se.mi
Serpianosaurus mirigiolensis_d,-0.695570533,-1.826070254,-0.537917501,0.112792757,0.136534468,NA,Sauropterygia,NA,Ladinian-EndCretaceous,Se.mi_d
Keichousaurus hui,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,Ke.hu
Keichousaurus hui_d,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753,NA,Sauropterygia,Late_Triassic,NA,Ke.hu_d
Lariosaurus balsami,-0.421714718,-1.843478379,-0.753833184,-0.527982942,-1.062175601,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,La.ba
Lariosaurus valceresii,-0.702223811,-1.581315665,-0.695182312,-0.83441837,-1.275616452,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,La.va
Lariosaurus xingyiensis,-0.987862227,-1.196953302,-0.977518207,-0.206707085,-1.580887717,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,La.xi
Nothosaurus youngi,-0.669117616,-1.669546099,-0.522230555,-0.848952688,-0.778775674,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,No.yo
Yunguisaurus liae,1.74868885,-1.320884482,0.768371817,0.37559628,-0.324429154,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,Yu.li
Psephochelys polyosteoderma,-0.682168965,-2.058059893,0.799916919,-0.55959281,0.529978481,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,Ps.po
Sinocyamodus xinpuensis,-0.936756384,-2.10163845,0.667349575,-0.775955459,-0.369818823,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,Si.xi
Psephoderma alpinum,-1.05827095,-1.183771466,0.257281066,-0.282610364,0.401069792,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,Pse.al
Thalassiodracon hawkinsii,4.313330075,0.249590829,0.342625112,-0.277108366,0.882405485,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Tha.ha
Atychodracon megacephalus,3.11316812,0.955653265,-0.741481249,0.586406897,1.044232411,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Aty.me
Archaeonectrus rostratus,2.23451966,0.616325223,-1.222725006,0.104214477,0.487742212,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Ar.ro
Attenborosaurus conybeari,2.427546055,0.410187869,-0.0062566,-0.636372964,-0.513689185,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Att.co
Plesiosaurus sp,2.104635608,0.787510229,0.570274993,0.456973347,-0.958344099,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Ple.sp
Hauffiosaurus zanoni,2.895059092,0.194781857,-0.343846447,-1.197946219,0.166931837,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Ha.za
Meyerasaurus victor,4.734879134,0.535903034,1.047660372,-1.300195589,1.122414288,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Me.vi
Microcleidus brachypterygius,5.020900967,0.158921527,1.26781385,-0.435004975,0.455512082,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Mi.br
Rhomaleosaurus cramptoni,2.749412052,1.387241758,-0.771184267,0.280404552,-0.030036422,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Rh.cr
Seeleyosaurus guilelmiimperatoris,2.928690834,-0.213149666,1.013108077,-0.696549061,-0.673482532,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Se.gu
Plesiopterys wildi,2.968026333,0.292454706,0.596588828,-0.303379637,-0.549321591,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,Pl.wi
Cryptoclidus eurymerus,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,Cr.eu
Liopleurodon ferox,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,Li.fe
Liopleurodon ferox_d,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325,NA,Sauropterygia,Late_Jurassic,NA,Li.fe_d
Muraenosaurus leedsii ,2.057411463,1.616965509,-0.409989591,0.654784709,-1.316877145,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,Mu.le
Muraenosaurus leedsii_d,2.057411463,1.616965509,-0.409989591,0.654784709,-1.316877145,NA,Sauropterygia,Late_Jurassic,NA,Mu.le_d
Peloneustes philarchus,2.247224982,1.137636862,-1.675457591,-0.136017857,0.046423242,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,Pe.ph
Kronosaurus boyacensis,2.82852976,2.287450731,-3.335508882,0.749767876,0.697864567,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,Kr.bo
Nichollssaura borealis,2.676763851,1.047485222,-0.690574788,-0.578296514,-0.222886655,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,Ni.bo
Thalassomedon haningtoni,2.380525037,2.898470384,-0.387411319,1.622490862,-2.734863885,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Th.ha
Brachauchenius sp,5.294834256,1.151990385,-2.027765982,-0.968360214,1.604296259,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Br.sp
Libonectes atlasense,4.838049029,2.644031734,1.466087959,0.859211062,-0.333245534,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Li.at
Polycotylus latipinnis,4.117145785,1.816102159,-0.639630772,-0.93823394,0.429933098,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Po.la
Styxosaurus sp,4.799065131,2.727065784,0.607195476,1.809750228,-1.468677074,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,St.sp
Albertonectes vanderveldei,3.891881517,1.793727006,0.109187501,1.11657284,-2.22328461,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Al.va
Dolichorhynchops osborni,2.708973915,1.224871292,-0.932537696,-1.680405076,0.259057284,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Do.os
Hydrotherosaurus alexandrae,6.926212357,2.686034461,1.261190903,0.844353525,-0.089647343,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Hy.al
Morenosaurus stocki,2.732564596,2.594975916,0.23640144,1.005997475,-1.380253349,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,Mo.st
Cartorhynchus lenticarpus,-3.080038008,0.591783549,1.409052524,0.135586581,1.772382011,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Ca.le
Utatsusaurus hataii,-3.126542841,-0.418554444,1.051914442,1.347567896,-0.025692277,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Ut.ha
Chaohusaurus chaoxianensis,-3.108779761,0.137999092,2.074975299,1.113400658,1.336210517,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Ch.ch
Chaohusaurus brevifemoralis,-3.647245907,0.093182116,2.866214334,1.215967967,0.612347189,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,Ch.br
Xinminosaurus catactes,-2.352172898,0.492234596,1.028246311,1.516847003,-0.38074396,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,Xi.ca
Xinminosaurus catactes_d,-2.352172898,0.492234596,1.028246311,1.516847003,-0.38074396,NA,Ichthyosauromorpha,NA,Ladinian-EndCretaceous,Xi.ca_d
Mixosaurus cornalianus,-3.50677827,2.005546019,1.431562916,-0.927869666,1.08658806,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,Mi.co
Mixosaurus cornalianus_d,-3.50677827,2.005546019,1.431562916,-0.927869666,1.08658806,NA,Ichthyosauromorpha,NA,Ladinian-EndCretaceous,Mi.co_d
Barracudasauroides panxianensis,-3.14249515,1.457680227,1.018425837,-0.269768649,0.406371404,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,Ba.pa
Mixosaurus xindianensis,-3.462644262,1.942793503,1.336558812,-1.010403683,0.394050773,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,Mi.xi
Mixosaurus xindianensis_d,-3.462644262,1.942793503,1.336558812,-1.010403683,0.394050773,NA,Ichthyosauromorpha,NA,Ladinian-EndCretaceous,Mi.xi_d
Phalarodon atavus,-3.790357953,1.432289306,1.528488533,0.119301787,0.467135243,Triassic,Ichthyosauromorpha,Mid_Triassic,Induan-Anisian,Ph.at
Phalarodon atavus_d,-3.790357953,1.432289306,1.528488533,0.119301787,0.467135243,NA,Ichthyosauromorpha,NA,Ladinian-EndCretaceous,Ph.at_d
Besanosaurus leptorhynchus,-1.421255095,2.151435004,1.366111491,2.611505741,0.407805141,Triassic,Ichthyosauromorpha,Mid_Triassic,Ladinian-EndCretaceous,Be.le
Shonisaurus popularis,0.361957157,3.877101868,-0.47134536,3.123376887,1.232016908,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,Sh.po
Guanlingsaurus lingae,-1.249212283,3.34087648,1.377991164,2.238119154,-0.227335138,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,Gu.li
Guizhouichthyosaurus tangae,0.275430732,2.61108289,0.620950074,2.604631524,1.064707897,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,Gu.ta
Qianichthyosaurus zhoui,-0.059289523,1.139738612,0.581648013,1.197426752,1.296225469,Triassic,Ichthyosauromorpha,Late_Triassic,Ladinian-EndCretaceous,Qi.zh
Suevoleviathan integer,-0.9017552,2.064515389,-0.793810431,-0.866277026,1.724294081,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,Su.in
