,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Hauffiosaurus zanoni,2.566754511,-0.565062119,0.812565144,0.259315695,-0.456347976,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Ha.za,11
Hydrotherosaurus alexandrae,6.426840347,-0.752152151,0.00734968,-1.348635215,1.03292442,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Hy.al,12
Keichousaurus hui,-0.304551638,-1.304900565,1.448455175,-0.53106993,-0.266748107,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ke.hu,13
Kronosaurus boyacensis,2.82507575,2.723429859,0.936528121,0.461924116,-1.750958738,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Kr.bo,14
Lariosaurus balsami,-0.970281218,-0.497672569,0.344707358,-0.526535746,-0.982857904,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.ba,15
Lariosaurus valceresii,-0.70038197,-0.56219703,0.491583142,-0.784706558,-1.066601085,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.va,16
Lariosaurus xingyiensis,-0.951897397,0.068595966,-0.272635499,-0.648875,-1.375726108,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.xi,17
Libonectes atlasense,5.088809758,-0.033559091,-0.482902186,-1.136441052,1.531629788,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Li.at,18
Liopleurodon ferox,2.004500215,1.923600615,0.085051405,0.364508814,-1.656010145,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Li.fe,19
Meyerasaurus victor,3.559323908,-1.198408001,0.358919811,1.148260512,0.3545141,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Me.vi,20
Microcleidus brachypterygius,3.753211353,-1.680842013,0.951412014,-0.609130768,0.918268999,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Mi.br,21
Morenosaurus stocki,3.293914776,0.984298072,-1.08539164,-1.473290663,0.072259424,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Mo.st,22
Muraenosaurus leedsii ,2.207363891,0.629390854,-0.454454892,-1.314102467,-0.311405703,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Mu.le,23
Neusticosaurus edwardsii,-0.87404999,-0.502850593,0.550561264,-1.22415381,-0.095927683,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ne.ed,24
Neusticosaurus peyeri,-0.931777809,-0.462523119,1.291580813,-0.664868453,-0.019256431,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ne.pe,25
Neusticosaurus pusillus,-0.414186365,-0.400916198,0.733209038,-0.762520674,0.019437955,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ne.pu,26
Nichollssaura borealis,2.146802892,0.095056563,0.508831229,-0.062644862,-0.553988041,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Ni.bo,27
Nothosaurus giganteus,-0.59630384,0.172131075,0.680169932,-0.255400383,-1.129304923,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,No.gi,28
Nothosaurus youngi,-0.963285243,-0.315553451,0.324905706,-0.197040203,-0.912638555,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,No.yo,29
Paraplacodus broilii,-0.924383788,-0.659520304,1.335473983,0.066151728,0.923687137,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Pa.br,30
Peloneustes philarchus,1.675214586,1.19566078,0.345026911,0.394994338,-1.125594863,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Pe.ph,31
Placodus inexpectatus,-1.249967499,-0.259285085,0.20774248,-0.53746902,-0.351823087,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Pla.in,32
