,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Mixosaurus xindianensis,-1.053393072,1.23216574,-0.325538106,0.839117779,-0.394654835,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Mi.xi,68
Ophthalmosaurus icenicus,-0.438203363,2.764201717,-0.926232617,0.562492707,-0.920983305,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Oph.ic,69
Phalarodon atavus,-1.568432249,1.549677007,-0.972550643,1.025405848,0.763094666,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Ph.at,70
Platypterygius hercynicus,0.265175667,2.881888249,-0.022682297,0.498561002,-1.199260407,Cretaceous,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Pl.he,71
Qianichthyosaurus zhoui,1.113202411,0.978776769,0.153663672,0.619328831,1.13694653,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Qi.zh,72
Shonisaurus popularis,2.162523403,4.344492676,-1.002382072,0.109657167,0.364228375,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Sh.po,73
Stenopterygius quadriscissus,0.041647434,1.848831109,0.231010683,0.421802442,-0.27799746,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,St.qu,74
Stenopterygius triscissus,0.868309796,2.586623732,0.301705237,0.271900083,0.183691627,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,St.tr,75
Stenopterygius uniter,1.066265792,1.88127334,0.290720824,0.950043841,0.052593562,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,St.un,76
Suevoleviathan integer,0.393043628,2.094226549,1.161877378,1.67049537,0.309582239,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Su.in,77
Temnodontosaurus trigonodon,1.220031891,3.452794827,-0.071035325,0.399561134,0.457924113,Jurassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Te.tr,78
Utatsusaurus hataii,-2.008746884,0.750817239,-0.507790539,-0.215821254,0.422675885,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Ut.ha,79
Xinminosaurus catactes,-0.964811527,1.099936442,-1.014368142,-0.535771538,0.133136232,Triassic,1,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes,Xi.ca,80
Aigialosaurus bucchichi,-1.315984064,0.092255748,0.843115627,-0.555178598,0.57148355,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Ai.bu,81
Halisaurus sternbergii,-0.667715833,0.820208649,0.007319054,-0.481289241,-0.173718265,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Ha.st,82
Clidastes prophyton,-1.494014662,1.867913194,-1.811969902,-0.039942606,0.446773857,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Cl.pr,83
Mosasaurus lemonnieri,-0.488929433,2.703960234,-2.177331635,-0.539590816,0.754461755,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Mo.le,84
Plotosaurus bennisoni,0.210675132,2.65998242,-1.407652264,-0.040514852,2.111418603,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Plo.be,85
Platecarpus tympaniticus,-0.520069095,2.07800983,-1.507542777,-0.260635566,1.122581646,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Pla.ty,86
Tylosaurus proriger ,0.153292814,2.366882101,-0.896128448,-0.342550335,0.414961685,Cretaceous,1,Mosasauroidea,Mosasauroidea,Amniotes,Ty.pr ,87
Archelon ischyros,3.152018703,-1.351336869,-1.185515271,1.987442431,0.234183447,Cretaceous,1,Pantestudines,Pantestudines,Amniotes,Ar.is,88
Eorhynchochelys sinensis,-0.729716958,-0.45927133,0.902255573,-0.651361545,1.768275445,Triassic,1,Pantestudines,Pantestudines,Amniotes,Eo.si,89
Eurysternum wagleri,-1.036517019,-0.960756499,-1.177200805,-0.003081722,-0.140329866,Jurassic,1,Pantestudines,Pantestudines,Amniotes,Eu.wa,90
