Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Stenopterygius quadriscissus,88.2,0.119,1.47,0.58,0.373,0.751,0.406,0.272,3.153,0.303,1.319,0.534,0.205,0.098,2.241,5.539,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Stenopterygius triscissus,102,0.073,1.379,0.623,0.429,0.813,0.373,0.248,5.722,0.853,1.52,0.456,0.105,0.152,6.087,2.834,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Stenopterygius uniter,109.2,0.102,1.445,0.638,0.365,0.791,0.549,0.402,3.857,0.329,1.442,0.675,0.296,0.199,4.024,4.301,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Ichthyosaurus communis   ,63.8,0.188,1.426,0.831,0.355,0.82,0.421,0.286,2.533,0.267,1.216,0.612,0.254,0.135,1.957,3.479,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Ichthyosaurus somersetensis,79.2,0.089,1.198,0.593,0.347,0.753,0.407,0.295,3.185,0.284,1.382,0.553,0.178,0.088,1.858,6.577,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Ichthyosaurus larkini,65.74,0.12,1.394,0.557,0.364,0.662,0.409,0.254,3.215,0.224,1.387,0.541,0.229,0.133,2.539,2.865,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Ophthalmosaurus icenicus,170.29,0.059,0.913,0.599,0.365,0.932,0.32,0.194,1.354,0.398,1.624,0.713,0.139,0.066,1.729,11.08,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Cryopterygius kristiansenae,207.8,0.079,0.931,0.669,0.29,0.716,0.232,0.15,2.577,0.268,1.384,0.741,0.118,0.048,1.355,5.163,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Caypullysaurus bonapartei,273.1,0.1665,1.1206,0.5397,0.3048,0.6721,0.3003,0.2234,3.717,0.3343,1.424,0.5404,0.1156,0.0573,1.3394,5.4762,Cretaceous,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Platypterygius hercynicus,162.4,0.139,1.121,0.69,0.212,0.831,0.322,0.237,2.41,0.232,1.674,0.522,0.103,0.05,1.291,11.868,Cretaceous,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Clarazia schinzi,18.578,0.2223,2.9189,0.347,0.593,0.3383,0.4581,0.2468,4.1386,0.4543,0.6818,0.39,0.5437,0.258,3.0886,0.6826,Triassic,Mesozoic,Thalattosauria,Thalattosauria,Amniotes
Askeptosaurus italicus,28,0.9464,4.0536,0.6857,0.4422,0.1992,0.5071,0.2032,2.7598,0.5476,0.8172,0.2317,0.6786,0.3096,2.3563,0.3677,Triassic,Mesozoic,Thalattosauria,Thalattosauria,Amniotes
Anshunsaurus huangguoshuensis,73,0.6027,2.3288,0.5137,0.6182,0.4836,0.5051,0.2154,1.6558,0.625,0.8594,0.3313,0.5739,0.2525,2.3991,1.0544,Triassic,Mesozoic,Thalattosauria,Thalattosauria,Amniotes
Miodentosaurus brevis,91.177,0.4645,3.1675,0.0319,0.5641,0.4769,0.5525,0.218,1.9581,0.1445,0.9242,0.3673,0.5412,0.2763,2.2919,0.7286,Triassic,Mesozoic,Thalattosauria,Thalattosauria,Amniotes
Endennasaurus acutirostris,17.199,0.6838,4.1205,0.4477,0.569,0.364,0.6837,0.252,3.0817,0.5439,0.8772,0.1804,0.857,0.3385,3.2771,0.5895,Triassic,Mesozoic,Thalattosauria,Thalattosauria,Amniotes
Hupehsuchus nanchangensis,23.6395,0.2423,1.7386,0.5021,0.9673,0.7523,0.1132,0.2601,1.5515,0.8536,1.3644,0.5412,0.3126,0.1813,1.8249,2.4203,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Eretmophis carroldongi,30.115,0.1783,1.9431,0.2047,0.8187,0.6886,0.4888,0.2379,1.4742,0.7696,1.5935,0.6163,0.3307,0.1854,1.4706,1.6432,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Helveticosurus zollingeri,121,0.2479,0.7025,0.1818,0.6905,0.411,0.581,0.2934,2.9688,0.7514,1.1081,0.2432,0.5248,0.2769,2.5439,0.9622,Triassic,Mesozoic,Saurosphargidae,Saurosphargidae,Amniotes
Largocephalosaurus polycarpon,70.375,0.1636,1.6559,0.3176,0.6707,0.2134,0.6677,0.254,2.4039,0.6029,1.2059,0.2059,0.5063,0.1839,2.1099,1.673,Triassic,Mesozoic,Saurosphargidae,Saurosphargidae,Amniotes
Tanystropheus longobardicus,53,3.9811,2.6415,0.3792,0.6414,0.2486,0.6598,0.1901,3.488,0.717,0.684,0.1163,1.1021,0.4212,4.2064,0.2455,Triassic,Mesozoic,Tanystropheidae,Tanystropheidae,Amniotes
Tanytrachelos ahynis,5.453,0.9607,2.0576,0.285,0.4484,0.1451,0.8083,0.2372,2.3174,0.5683,0.8058,0.1056,1.2887,0.5216,3.2971,0.2942,Triassic,Mesozoic,Tanystropheidae,Tanystropheidae,Amniotes
Dinocephalosaurus orientalis,69.985,2.3667,2.3341,0.2632,0.6582,0.2315,0.5449,0.2477,3.9821,0.5482,1.0448,0.2668,0.5147,0.2582,3.7516,0.867,Triassic,Mesozoic,Tanystropheidae,Tanystropheidae,Amniotes
Atopodentatus unicus,78.5785,0.4506,1.7333,0.1527,0.3778,0.2844,0.5599,0.1794,2.48,0.6163,1.3081,0.1971,0.5409,0.2241,2.9805,0.7708,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Odontochelys semitestacea,14.3,0.5,1.3561,0.4465,0.6315,0.4358,0.7809,0.2972,1.8546,0.6547,0.9488,0.2157,0.7973,0.3153,2.9687,1.4218,Triassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Proganochelys quenstedti,40.25,0.3717,0.9491,0.2385,0.6124,0.4068,0.7795,0.2137,1.284,0.5882,0.8746,0.3021,0.9836,0.3463,1.7136,0.5079,Triassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Eorhynchochelys sinensis,45.9905,0.3005,3.3015,0.1957,0.6142,0.5,0.7713,0.3196,2.3583,0.6303,0.8944,0.3247,0.835,0.338,3.7349,1.4163,Triassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Platysuchus multicrobiculatus,61.4685,0.3265,2.3051,0.9436,0.5795,0.1602,0.486,0.1405,3.0746,0.6024,0.6819,0.1448,0.8663,0.3361,2.732,0.1553,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Pelagosaurus typus,30.1185,0.4067,2.6287,0.9922,0.5999,0.1872,0.4237,0.0982,3.4731,0.5645,0.5895,0.1209,0.8424,0.2952,4.0697,0.1298,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Steneosaurus bollensis,92.063,0.408,2.52,0.978,0.573,0.221,0.475,0.119,3.541,0.748,0.655,0.169,0.862,0.311,3.336,0.139,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Metriorhynchus superciliosus,86.6065,0.3204,1.7782,0.8729,0.3222,0.2368,0.2117,0.0908,2.011,0.3353,0.3005,0.1251,0.6837,0.2573,2.6951,0.167,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Cricosaurus suevicus,50,0.22,1.956,0.86,0.5,0.7,0.1765,0.096,2.2606,0.2833,0.25,0.125,0.5368,0.222,4.0813,0.3376,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Cricosaurus bambergensis,38.1,0.2097,2.0869,0.9131,0.545,0.375,0.1983,0.0847,1.6711,0.2874,0.3298,0.1344,0.5129,0.2195,4.6009,0.4105,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Dakosaurus maximus,122.4,0.1663,1.7746,0.5397,0.5042,0.4497,0.179,0.0932,1.4754,0.3206,0.2658,0.15,0.4913,0.2116,3.3389,0.4385,Jurassic,Mesozoic,Thalattosuchia,Thalattosuchia,Amniotes
Kallimodon pulchellus,6.6775,0.271,2.3967,0.3894,0.7252,0.3131,0.6565,0.2666,3.0527,0.7898,0.6905,0.1881,1.041,0.5003,3.6337,0.3382,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Kallimodon cerinensis ,9.05,0.2659,2.0994,0.4175,0.777,0.3098,0.6576,0.2642,2.8584,0.7993,0.7143,0.1996,0.9741,0.4627,3.6523,0.4167,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Sapheosaurus thiollierei,13.9,0.2553,2.8201,0.3633,0.6739,0.3449,0.5975,0.243,3.3561,0.8132,0.7439,0.2076,0.9392,0.4351,3.1332,0.2913,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Vadasaurus herzogi,6.3,0.206,2.8571,0.4635,0.6431,0.3466,0.7148,0.3198,4.5855,0.7568,0.7068,0.1941,1.1383,0.5445,4.1005,0.3084,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Palaeopleurosaurus posidoniae,26.3,0.1255,2.3726,0.269,0.6731,0.4017,0.2814,0.1217,2.6947,0.6,0.7429,0.1689,0.3688,0.1728,4.3918,0.8083,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Pleurosaurus ginsburgi,42.2125,0.0713,2.369,0.1895,0.7027,0.414,0.1048,0.0395,2.6659,0.5127,0.2308,0.231,0.3253,0.1514,6.384,0.1631,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Pleurosaurus goldfussi,31,0.0787,2.361,0.3065,0.7333,0.3183,0.2016,0.0866,2.7062,0.5789,0.5526,0.2014,0.3099,0.1323,3.4803,0.5518,Jurassic,Mesozoic,Rhynchocephalia,Rhynchocephalia,Amniotes
Eurysternum wagleri,23.45,0.473,0.796,0.232,0.726,0.486,0.644,0.25,1.522,0.358,0.727,0.305,0.925,0.353,1.943,0.637,Jurassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Idiochelys fitzingeri,9,0.531,0.856,0.331,0.65,0.339,0.861,0.352,3.604,0.735,1.083,0.204,0.87,0.37,2.662,0.669,Jurassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Platychelys oberndorferi,12.5,0.58,0.942,0.254,0.737,0.472,0.713,0.294,1.705,0.94,1.05,0.355,0.621,0.405,2.823,0.87,Jurassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Xinjiangchelys wusu,14.5,0.4828,1.2742,0.2069,0.5892,0.2985,0.6072,0.2828,1.8095,0.516,0.62,0.2683,0.81,0.3034,2.8681,1.3763,Jurassic,Mesozoic,Pantestudines,Pantestudines,Amniotes
Aigialosaurus bucchichi,32,0.4499,2.2063,0.4463,0.7778,0.3384,0.4168,0.1821,3.3838,0.6545,0.8182,0.2586,0.4549,0.1784,2.8051,0.8642,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Halisaurus sternbergii,81.8,0.3854,1.3415,0.4648,0.7,0.4023,0.3164,0.1918,3.973,0.713,1.0999,0.5622,0.2688,0.1588,2.884,1.0587,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Clidastes prophyton,136,0.1654,1.0735,0.368,0.8027,0.9027,0.2388,0.1687,1.4213,0.7663,0.8742,0.5804,0.1905,0.1134,1.6078,2.5034,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Mosasaurus lemonnieri,246.48,0.224,1.299,0.308,0.766,0.961,0.286,0.207,2.246,0.713,1.018,0.76,0.274,0.197,2.709,1.324,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Plotosaurus bennisoni,130,0.232,1.598,0.373,0.812,1.178,0.343,0.275,4.549,0.65,0.9,0.72,0.336,0.262,4.166,1.012,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Platecarpus tympaniticus,175.11,0.199,1.661,0.313,0.726,0.949,0.37,0.261,2.251,0.715,1.001,0.677,0.376,0.249,2.185,1.064,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Tylosaurus proriger ,254.5,0.203,1.627,0.469,0.726,0.647,0.394,0.259,3.548,0.679,1.085,0.662,0.394,0.257,3.189,0.907,Cretaceous,Mesozoic,Mosasauroidea,Mosasauroidea,Amniotes
Jeholochelys lingyuanensis,11.342,0.3156,1.5478,0.2957,0.5682,0.319,0.9458,0.4223,3.5906,0.5658,0.9142,0.2168,1.0558,0.4757,2.5814,0.5668,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Ordosemys liaoxiensis,17.2,0.521,1.4186,0.2587,0.5567,0.3857,0.8808,0.3842,2.4236,0.6644,0.9403,0.3404,0.999,0.4429,3.1173,0.968,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Hoyasemys jimenezi,3.6535,0.5935,1.27,0.3523,0.646,0.3832,0.8989,0.4174,3.4919,0.8092,0.9596,0.2531,1.0246,0.4492,3.6049,0.8916,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Protostega gigas,68,0.4587,0.6618,0.5441,0.5758,0.4242,1.5588,0.8088,2.5135,0.7407,1.2222,0.2455,1.25,0.5875,1.7626,1.3292,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Archelon ischyros,150,0.48,0.4667,0.4,0.5385,0.5231,1.3962,0.7499,2.9716,0.7174,1.413,0.2283,0.9771,0.4745,1.7923,1.5062,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Rhinochelys nammourensis,21.5,0.4295,0.5256,0.4389,0.7589,0.55,0.7907,0.4555,3.301,0.6064,1.0863,0.2382,0.6512,0.3442,2.326,1.2339,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
Toxochelys latiremis,31.3,0.5574,0.5751,0.2713,0.5556,0.3606,0.9536,0.4687,2.2119,0.6491,1.0255,0.1922,0.9109,0.4201,2.3362,1.3148,Cretaceous,Mesozoic,Pantestudines,Pantestudines,Amniotes
