Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Kinosternon subrubrum,8.1,0.914,0.346,0.284,0.684,0.29,0.727,0.247,1.321,0.77,0.951,0.251,0.726,0.195,1.527,1.853,Extant,Extant,Rowing,Reptile,Amniotes
Lissemys punctata,17.5,1.286,0.354,0.326,0.49,0.331,0.75,0.307,2.275,0.593,0.868,0.254,0.883,0.338,2.371,0.863,Extant,Extant,Rowing,Reptile,Amniotes
Lutra lutra,22.5,0.248,0.933,0.246,0.749,0.377,0.626,0.208,1.732,1.09,1.217,0.231,0.763,0.352,3.117,0.624,Extant,Extant,Undulation,Mammal,Amniotes
Mesoclemmys nasuta,13.3,0.865,0.639,0.465,0.584,0.244,1.07,0.377,1.803,0.649,0.884,0.26,1.342,0.526,2.8,0.796,Extant,Extant,Rowing,Reptile,Amniotes
Miorunga leonina,184.5,0.211,0.285,0.179,1.093,0.359,0.537,0.23,2.078,2.252,1.656,0.669,0.585,0.298,2.879,0.827,Extant,Extant,Undulation,Mammal,Amniotes
Myocastor coypus,18.3,0.239,2.005,0.393,1.042,0.248,0.869,0.253,2.153,1.172,0.753,0.254,1.455,0.585,3.569,0.31,Extant,Extant,Paddling,Mammal,Amniotes
Neovison vison,19,0.411,0.684,0.184,0.689,0.184,0.595,0.195,4.118,1.068,0.98,0.207,0.773,0.274,5.575,0.685,Extant,Extant,Paddling,Mammal,Amniotes
Odobenus rosmarus,150,0.227,0.22,0.16,0.69,0.341,0.612,0.212,1.923,1.69,1.69,0.51,0.733,0.357,4.346,0.799,Extant,Extant,Undulation,Mammal,Amniotes
Ondatra zybethicus,13,0.204,1.546,0.315,1.129,0.345,0.738,0.231,2.287,1.657,0.886,0.229,1.19,0.475,4.188,0.433,Extant,Extant,Paddling,Mammal,Amniotes
Ornithorhynchus anatinus,12,0.2,0.917,0.621,1.042,0.402,0.816,0.329,2.189,1.566,1.079,0.623,0.965,0.398,3.276,1.022,Extant,Extant,Rowing,Mammal,Amniotes
Otaria byronia,81.5,0.442,0.164,0.245,0.96,0.419,0.816,0.34,3.277,1.932,1.763,0.508,0.776,0.372,3.649,1.016,Extant,Extant,Forelimb oscillation,Mammal,Amniotes
Phoca vitulina,62,0.331,0.476,0.202,0.816,0.396,0.511,0.242,3.261,2.208,1.194,0.555,0.834,0.435,5.39,0.51,Extant,Extant,Undulation,Mammal,Amniotes
Potamogale velox,10.73,0.42,1.668,0.353,0.601,0.119,0.713,0.217,3.726,1.06,1.081,0.233,0.98,0.326,5.39,0.624,Extant,Extant,Paddling,Mammal,Amniotes
Pteronura brasiliensis,55.5,0.306,1.144,0.181,0.772,0.381,0.526,0.204,2.825,1.24,0.986,0.313,0.741,0.328,3.733,0.509,Extant,Extant,Undulation,Mammal,Amniotes
Spheniscus demersus,20,0.9,0.6,0.607,0.739,0.36,1.097,0.465,3.945,1.389,0.935,0.2,1.394,0.465,2.351,0.595,Extant,Extant,Forelimb oscillation,Aves,Amniotes
Staurotypus triporcatus,22.1,0.814,0.534,0.404,0.608,0.299,0.779,0.308,2.224,0.788,1.013,0.269,0.889,0.371,2.401,0.742,Extant,Extant,Rowing,Reptile,Amniotes
Tapirus indicus,84,0.31,0.476,0.345,0.848,0.3,0.78,0.274,2.445,0.879,0.868,0.306,0.986,0.393,5.802,1.153,Extant,Extant,Paddling,Mammal,Amniotes
Tomistoma schlegelii,34,0.559,2.118,0.912,0.691,0.277,0.667,0.201,1.707,0.78,0.825,0.224,0.928,0.335,1.644,0.348,Extant,Extant,Undulation,Reptile,Amniotes
Tryonyx triunguis,29.5,0.417,1.017,0.379,0.54,0.74,0.948,0.332,0.298,1.061,1.172,0.447,0.441,2.5,2.039,0.841,Extant,Extant,Rowing,Reptile,Amniotes
Varanus niloticus,25,0.32,2.12,0.358,0.963,0.369,0.666,0.253,1.77,0.785,0.921,0.297,0.664,0.257,1.961,1.077,Extant,Extant,Undulation,Reptile,Amniotes
Amphiuma means,39,0.084,0.231,0.077,0.411,0.203,0.048,0.013,1.053,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Undulation,Amphibian,Amphibian
Delphinus delphis,105,0.052,0.81,0.324,1.113,0.933,0.389,0.238,2.493,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Caudal oscillation,Mammal,Amniotes
Dugong dugon,103,0.102,0.845,0.238,0.628,0.383,0.457,0.168,2.428,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Caudal oscillation,Mammal,Amniotes
Phocoena phocoena,62.5,0.06,0.768,0.296,1.135,0.556,0.341,0.159,3.43,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Caudal oscillation,Mammal,Amniotes
Trichechus manatus,112,0.313,0.857,0.214,0.743,0.418,0.46,0.188,2.031,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Undulation,Mammal,Amniotes
Trichechus senegalensis,76,0.289,1.105,0.303,0.649,0.347,0.651,0.25,1.897,NA,NA,NA,NA,NA,NA,NA,Extant,Extant,Undulation,Mammal,Amniotes
Wangosaurus brevirostris,56.4,1.508,1.863,0.474,0.56,0.319,0.693,0.234,2.205,0.39,0.96,0.13,0.773,0.303,2.744,0.74,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Diandongosaurus acutidentatus,7.77,0.933,1.615,0.367,0.544,0.254,0.563,0.198,2.487,0.522,0.735,0.222,0.834,0.337,2.652,0.369,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Dianmeisaurus gracilis,6.64,0.891,1.981,0.353,0.576,0.307,0.576,0.196,2.427,0.446,0.817,0.132,0.636,0.233,2.514,0.734,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Placodus inexpectatus,60,0.18,1.838,0.3,0.556,0.303,0.567,0.177,2.149,0.711,1.052,0.259,0.672,0.258,2.513,0.553,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Wumengosaurus delicatomandibularis,30.9,0.462,1.87,0.303,0.557,0.341,0.465,0.163,2.558,0.505,0.972,0.672,0.517,0.217,3.768,0.829,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Nothosaurus giganteus,103,0.65,1.49,0.558,0.506,0.249,0.545,0.2,2.072,0.485,0.94,0.206,0.589,0.22,2.407,0.962,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Ceresiosaurus calcagnii,54.5,0.747,1.67,0.385,0.456,0.245,0.647,0.201,2.364,0.521,1.45,0.192,0.582,0.259,3.389,0.864,Triassic,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
