,Triassic,Jurassic,Cretaceous
Mean,57.87708333,87.22837121,135.0574909
SD,70.27891344,60.8635043,110.2892029
,,,
,,Mean,SD
,Triassic,57.87708333,70.27891344
,Jurassic,87.22837121,60.8635043
,Cretaceous,135.0574909,110.2892029
