"","Ind-Ole","Ani-Lad","Car","Nor-Rha","Het-Sin","Pli-Toa","Aal-Call","Oxf","Kim-Tith","Ber-Bar","Apt-Alb","Cen-Con","San-Maas"
"Mean",33.37,53.5440540540541,79.6815384615385,41.8181818181818,86.6692857142857,102.924166666667,118.155714285714,135.518,61.5201086956522,119.795772727273,115.352352941176,83.4104615384615,168.962020833333
"SD",18.7055719565648,65.27147894497,83.5613589019378,27.6412578650762,30.6075182981833,54.7407029165419,57.1060043127816,41.925804941587,71.5911151502305,119.268998178773,117.108612382342,83.5553903274303,106.730107339319
