,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Group_1,Group_2,Time,Time_2,Time_3,Time_4,Time_5
Albertonectes vanderveldei,3.891881517,1.793727006,0.109187501,1.11657284,-2.22328461,Sauropterygia,Elasmosauridae,Cretaceous,Late_Cretaceous,Ladinian-EndCretaceous,San-Maas,San-Maas
Archaeonectrus rostratus,2.23451966,0.616325223,-1.222725006,0.104214477,0.487742212,Sauropterygia,Basal_plesiosauroidea,Jurassic,Early_Jurassic,Ladinian-EndCretaceous,Het-Sin,Het-Sin
Atopodentatus unicus,-0.672867236,-1.157674562,0.294994578,-0.406395863,-1.391633397,Sauropterygia,NA,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Attenborosaurus conybeari,2.427546055,0.410187869,-0.0062566,-0.636372964,-0.513689185,Sauropterygia,Pliosauridae,Jurassic,Early_Jurassic,Ladinian-EndCretaceous,Het-Sin,Het-Sin
Atychodracon megacephalus,3.11316812,0.955653265,-0.741481249,0.586406897,1.044232411,Sauropterygia,Basal_plesiosauroidea,Jurassic,Early_Jurassic,Ladinian-EndCretaceous,Het-Sin,Het-Sin
Ceresiosaurus calcagnii,-0.352603877,-1.069523031,0.047169368,-0.824398071,-0.650678095,Sauropterygia,Nothosauroidea,Triassic,Mid_Triassic,Ladinian-EndCretaceous,Ani-Lad,Ani-Lad
Cryptoclidus eurymerus,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045,Sauropterygia,Criptoclididae,Jurassic,Mid_Jurassic,Ladinian-EndCretaceous,Aal-Call,Aal-Call
Cryptoclidus eurymerus_d,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045,Sauropterygia,Criptoclididae,NA,Late_Jurassic,NA,Oxf,Oxf-Tith
Diandongosaurus acutidentatus,0.199720803,-2.29756513,-0.258417137,-0.356602926,-0.744888371,Sauropterygia,Basal_eosauropterygia,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Dianmeisaurus gracilis,-0.448317781,-2.207017064,-0.478812884,-0.46812253,-0.875584315,Sauropterygia,Basal_eosauropterygia,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
