Taxon,Trunk,Lower jaw ratio,Neck ratio,Tail ratio,Brachial ind.,Crural ind.,Fore/hind ratio,Humeral flare,Femoral flare,Forelimb ratio,Hindlimb ratio,Manus ratio,Pes ratio,Manus AR,Pes AR,Manus/pes ratio,Time,Group_1,Time_2,Time_3,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Group_1,Group_2
Albertonectes vanderveldei,188,0.246,3.723,1.29,0.313,0.245,1.053,0.565,0.589,0.741,0.717,0.471,0.467,5.069,5.16,1.039,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,3.891881517,1.793727006,0.109187501,1.11657284,-2.22328461,Sauropterygia,Elasmosauridae
Archaeonectrus rostratus,95.6,0.649,0.941,1.237,0.319,0.316,0.975,0.399,0.471,0.694,0.805,0.366,0.449,4.347,5.244,0.801,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.23451966,0.616325223,-1.222725006,0.104214477,0.487742212,Sauropterygia,Basal_plesiosauroidea
Atopodentatus unicus,78.5785,0.1527,0.4506,1.7333,0.3778,0.6163,1.3081,0.2844,0.1971,0.5599,0.5409,0.1794,0.2241,2.48,2.9805,0.7708,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.672867236,-1.157674562,0.294994578,-0.406395863,-1.391633397,Sauropterygia,NA
Attenborosaurus conybeari,125.6,0.422,1.539,1.339,0.38,0.298,1,0.432,0.419,0.885,0.81,0.467,0.433,4.118,3.135,0.885,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.427546055,0.410187869,-0.0062566,-0.636372964,-0.513689185,Sauropterygia,Pliosauridae
Atychodracon megacephalus,124.41,0.661,1.094,1.321,0.399,0.344,0.953,0.543,0.465,0.822,0.91,0.438,0.554,5.126,5.599,0.681,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,3.11316812,0.955653265,-0.741481249,0.586406897,1.044232411,Sauropterygia,Basal_plesiosauroidea
Stenorhynchosaurus munozi,145,0.78,0.483,1.063,0.079,0.082,0.812,0.33,0.293,1.113,1.213,0.62,0.61,5.934,5.94,1.036,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,5.294834256,1.151990385,-2.027765982,-0.968360214,1.604296259,Sauropterygia,Pliosauridae
Brancasaurus brancai,75.9,0.395,1.818,0.997,NA,0.243,1.093,0.545,0.577,NA,NA,NA,NA,NA,NA,NA,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Ceresiosaurus calcagnii,54.5,0.385,0.747,1.67,0.456,0.521,1.45,0.245,0.192,0.647,0.582,0.201,0.259,2.364,3.389,0.864,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.352603877,-1.069523031,0.047169368,-0.824398071,-0.650678095,Sauropterygia,Nothosauroidea
Cryptoclidus eurymerus,99,0.36,1.091,0.926,0.232,0.275,0.79,0.639,0.74,0.949,1.021,0.601,0.566,4.287,4.285,1.128,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045,Sauropterygia,Criptoclididae
Diandongosaurus acutidentatus,7.77,0.367,0.933,1.615,0.544,0.522,0.735,0.254,0.222,0.563,0.834,0.198,0.337,2.487,2.652,0.369,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,0.199720803,-2.29756513,-0.258417137,-0.356602926,-0.744888371,Sauropterygia,Basal_eosauropterygia
Dianmeisaurus gracilis,6.64,0.353,0.891,1.981,0.576,0.446,0.817,0.307,0.132,0.576,0.636,0.196,0.233,2.427,2.514,0.734,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,-0.448317781,-2.207017064,-0.478812884,-0.46812253,-0.875584315,Sauropterygia,Basal_eosauropterygia
Dianopachysaurus dingi,3.75,0.712,1.084,0.964,0.5,0.429,0.714,0.364,0.186,NA,0.813,NA,0.281,NA,2.454,NA,Triassic,Sauropterygia,Mid_Triassic,Induan-Anisian,NA,NA,NA,NA,NA,NA,NA
Dolichorhynchops osborni,91.8,0.61,0.558,0.826,0.107,0.148,1.018,0.5,0.567,0.886,0.913,0.48,0.5,3.635,3.4,0.863,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,2.708973915,1.224871292,-0.932537696,-1.680405076,0.259057284,Sauropterygia,Leptocleidia
Glyphoderma kangi,26.4,0.423,0.22,1.836,0.622,0.841,1.117,0.303,0.328,0.625,NA,0.225,NA,NA,NA,NA,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Hauffiosaurus zanoni,82,0.524,1.134,1.165,0.302,0.284,0.925,0.391,0.36,0.995,0.949,0.498,0.435,4.452,3.344,0.984,Jurassic,Sauropterygia,Early_Jurassic,Ladinian-EndCretaceous,2.895059092,0.194781857,-0.343846447,-1.197946219,0.166931837,Sauropterygia,Pliosauridae
Henodus chelyops,57,0.254,0.249,0.605,0.527,0.673,0.921,0.432,0.465,NA,NA,NA,NA,NA,NA,NA,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,NA,NA,NA,NA,NA,NA,NA
Hydrotherosaurus alexandrae,140,0.336,3.179,0.829,0.282,0.25,1.083,0.692,0.658,1.07,1.119,0.849,0.798,6.881,6.659,1.095,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,6.926212357,2.686034461,1.261190903,0.844353525,-0.089647343,Sauropterygia,Elasmosauridae
Keichousaurus hui,5.7,0.453,1.196,2.071,0.487,0.357,1.183,0.252,0.135,0.816,0.7,0.247,0.282,2.009,1.876,0.715,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753,Sauropterygia,Pachypleurosauria
Kronosaurus boyacensis,282.5,0.857,0.393,1.064,0.15,0.128,0.818,0.402,0.41,0.651,0.685,0.371,0.401,5.577,6.333,0.974,Cretaceous,Sauropterygia,Early_Cretaceous,Ladinian-EndCretaceous,2.82852976,2.287450731,-3.335508882,0.749767876,0.697864567,Sauropterygia,Pliosauridae
Lariosaurus balsami,26,0.406,0.665,1.252,0.521,0.465,0.79,0.278,0.146,0.523,0.689,0.165,0.215,2.248,3.032,0.793,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.421714718,-1.843478379,-0.753833184,-0.527982942,-1.062175601,Sauropterygia,Nothosauroidea
Lariosaurus valceresii,27.6,0.395,0.811,1.264,0.486,0.455,0.955,0.234,0.12,0.519,0.527,0.171,0.171,2.636,2.426,0.915,Triassic,Sauropterygia,Mid_Triassic,Ladinian-EndCretaceous,-0.702223811,-1.581315665,-0.695182312,-0.83441837,-1.275616452,Sauropterygia,Nothosauroidea
Lariosaurus xingyiensis,48.12,0.397,0.558,0.714,0.53,0.437,0.758,0.309,0.186,0.352,0.465,0.138,0.168,2.746,2.692,0.662,Triassic,Sauropterygia,Late_Triassic,Ladinian-EndCretaceous,-0.987862227,-1.196953302,-0.977518207,-0.206707085,-1.580887717,Sauropterygia,Nothosauroidea
Libonectes atlasense,135,0.333,2.963,1.074,0.367,0.34,0.978,0.997,0.765,0.991,0.945,0.715,0.661,5.145,5.409,1.229,Cretaceous,Sauropterygia,Late_Cretaceous,Ladinian-EndCretaceous,4.838049029,2.644031734,1.466087959,0.859211062,-0.333245534,Sauropterygia,Elasmosauridae
Liopleurodon ferox,181,0.657,0.406,0.58,0.163,0.175,0.75,0.551,0.538,0.591,0.785,0.337,0.453,4.592,5.998,0.723,Jurassic,Sauropterygia,Mid_Jurassic,Ladinian-EndCretaceous,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325,Sauropterygia,Pliosauridae
