"","statistic..t","parameter..df","p.value","stderr"
"Middle Triassic : Late Triassic",-13.9650840556105,119.517643823362,4.25324093506411e-26,0.0735204839341175
"Late Triassic : Early Jurassic",-5.42213714476741,162.642375799648,1.2573574296597e-06,0.0816928599724311
"Early Jurassic : Middle Jurassic",5.97138717594375,158.106298677913,8.99393344135277e-08,0.0846006971585175
"Middle Jurassic : Late Jurassic",-2.24717705371999,180.587089099316,0.155034887543604,0.124880453969751
"Late Jurassic : Early Cretaceous",-10.4332917429758,185.535512459455,1.43889779422457e-19,0.166097906146654
"Early Cretaceous : Late Cretaceous",-12.9064844788763,197.98506777573,2.8309651844943e-27,0.187199381013399
