"","statistic..t","parameter..df","p.value","stderr"
"Middle Triassic : Late Triassic",-13.9650840556105,119.517643823362,7.08873489177352e-27,0.0735204839341175
"Late Triassic : Early Jurassic",-5.42213714476741,162.642375799648,2.0955957160995e-07,0.0816928599724311
"Early Jurassic : Middle Jurassic",5.97138717594375,158.106298677913,1.49898890689213e-08,0.0846006971585175
"Middle Jurassic : Late Jurassic",-2.24717705371999,180.587089099316,0.0258391479239339,0.124880453969751
"Late Jurassic : Early Cretaceous",-10.4332917429758,185.535512459455,2.39816299037428e-20,0.166097906146654
"Early Cretaceous : Late Cretaceous",-12.9064844788763,197.98506777573,4.7182753074905e-28,0.187199381013399
