"","statistic..t","parameter..df","p.value","stderr"
"Triassic : Jurassic",-28.0871069800319,153.744864951924,4.04394526393538e-62,0.0546094587181129
"Jurassic : Cretaceous",-30.5635816701431,131.422557793199,2.78972205349768e-61,0.126081956232524
