"","statistic..t","parameter..df","p.value","stderr"
"Early Triassic : Middle Triassic",-10.9325162160887,116.141802951029,1.46966148460536e-19,0.124001256600232
"Middle Triassic : Late Triassic",-0.0420612338346158,197.616966541896,0.966492350029182,0.16459781403035
"Late Triassic : Early Jurassic",-3.09155839018631,148.889212226286,0.00237744725771771,0.128262629218429
"Early Jurassic : Late Jurassic-Early Cretaceous",14.4226397020973,188.922874831977,2.77839662449727e-32,0.0947040803032086
