"","statistic..t","parameter..df","p.value","stderr"
"Early Triassic : Middle Triassic",-10.5079867159393,115.799234127015,6.09290644150059e-18,0.128171427783517
"Middle Triassic : Late Triassic",0.388545988489696,192.36111066183,1,0.160760887694596
"Late Triassic : Early Jurassic",-4.62798647230346,161.01629924975,3.02252091669605e-05,0.120331576691448
"Early Jurassic : Late Jurassic-Early Cretaceous",14.3426997485821,196.971776283828,8.2060185738342e-32,0.0838575827660966
